学生ID,性别,父母收入,IQ,父母鼓励,升学计划
4558,男,53900,118,鼓励,计划
4561,女,24900,87,不鼓励,不计划
4563,女,65800,93,不鼓励,不计划
4565,男,11440,117,鼓励,计划
4567,女,16700,102,不鼓励,不计划
4568,女,47630,100,鼓励,计划
4570,男,49680,81,鼓励,不计划
4572,女,39820,127,鼓励,计划
4574,女,4860,95,鼓励,不计划
4580,男,65340,100,鼓励,不计划
4581,女,66550,112,鼓励,计划
4583,女,43000,120,不鼓励,计划
4585,女,57000,125,不鼓励,不计划
4587,女,76670,119,鼓励,计划
4590,女,7700,61,不鼓励,不计划
4594,男,42750,106,鼓励,不计划
4597,男,15840,72,鼓励,不计划
4603,女,62800,63,不鼓励,不计划
4607,男,49100,101,不鼓励,不计划
4612,男,63910,106,鼓励,计划
4613,女,49300,108,不鼓励,不计划
4614,女,31600,115,不鼓励,不计划
4615,女,20800,83,不鼓励,不计划
4616,男,70730,105,鼓励,计划
4617,女,40810,117,鼓励,计划
4620,女,34900,96,不鼓励,不计划
4622,男,51040,130,鼓励,计划
4624,男,14130,138,鼓励,不计划
4625,男,71060,129,鼓励,计划
4628,女,59180,107,鼓励,计划
4629,女,31600,109,不鼓励,不计划
4630,女,67700,97,不鼓励,不计划
4634,女,12300,104,不鼓励,不计划
4635,女,37980,116,鼓励,不计划
4637,女,5000,106,不鼓励,不计划
4638,男,35640,97,鼓励,不计划
4639,男,45540,71,鼓励,不计划
4640,女,46900,101,不鼓励,不计划
4642,女,30030,99,鼓励,计划
4643,女,70000,103,不鼓励,不计划
4644,男,46600,62,不鼓励,不计划
4646,女,18500,62,不鼓励,不计划
4649,男,67800,86,不鼓励,不计划
4651,女,17300,101,不鼓励,不计划
4652,男,31600,61,不鼓励,不计划
4653,男,44460,102,鼓励,不计划
4654,女,44000,134,鼓励,计划
4655,女,39960,113,鼓励,不计划
4656,女,7200,60,不鼓励,不计划
4658,女,67050,106,鼓励,不计划
4659,女,36360,133,鼓励,不计划
4660,男,34500,110,不鼓励,不计划
4661,男,25700,68,不鼓励,不计划
4663,女,20340,71,鼓励,不计划
4664,男,35860,107,鼓励,计划
4665,女,45430,95,鼓励,计划
4667,女,35800,124,不鼓励,不计划
4668,女,26550,75,鼓励,不计划
4671,女,56430,102,鼓励,不计划
4673,男,33300,103,不鼓励,不计划
4674,男,68090,127,鼓励,计划
4679,男,42030,103,鼓励,不计划
4680,女,7810,106,鼓励,计划
4684,男,57100,81,不鼓励,不计划
4688,男,29340,115,鼓励,不计划
4690,女,45630,121,鼓励,不计划
4693,女,36500,76,不鼓励,不计划
4694,男,57200,136,鼓励,计划
4695,女,38340,106,鼓励,不计划
4697,女,53000,107,不鼓励,计划
4698,女,5220,102,鼓励,不计划
4700,男,39900,78,不鼓励,不计划
4705,女,45270,131,鼓励,不计划
4706,男,80190,134,鼓励,计划
4710,女,10700,96,不鼓励,不计划
4712,女,52300,101,不鼓励,不计划
4713,女,37600,100,不鼓励,不计划
4714,女,13900,83,不鼓励,不计划
4717,男,16290,99,鼓励,不计划
4718,女,35200,129,不鼓励,不计划
4720,女,64240,132,鼓励,计划
4721,男,57200,126,鼓励,计划
4722,男,38300,127,不鼓励,不计划
4723,女,74470,103,鼓励,计划
4724,女,23900,95,不鼓励,不计划
4726,女,75570,100,鼓励,计划
4728,男,44330,100,鼓励,计划
4729,男,34920,71,鼓励,不计划
4730,女,52690,90,鼓励,计划
4731,女,46900,98,不鼓励,不计划
4732,男,40800,109,不鼓励,不计划
4733,女,36360,87,鼓励,不计划
4734,男,54340,103,鼓励,计划
4736,女,22500,126,不鼓励,不计划
4737,男,8800,83,不鼓励,不计划
4742,女,49280,104,鼓励,计划
4744,女,32670,129,鼓励,不计划
4748,男,50380,107,鼓励,计划
4750,女,11000,132,不鼓励,不计划
4752,女,39600,74,鼓励,不计划
4753,女,48510,112,鼓励,计划
4754,女,74300,138,不鼓励,计划
4757,女,22770,67,鼓励,计划
4758,男,17700,61,不鼓励,不计划
4759,男,57600,94,鼓励,不计划
4763,女,48200,104,不鼓励,不计划
4766,女,45300,61,不鼓励,不计划
4768,男,30360,115,鼓励,计划
4769,男,42930,106,鼓励,不计划
4773,女,43560,110,鼓励,计划
4774,女,44660,118,鼓励,计划
4775,女,49000,60,不鼓励,不计划
4777,男,33840,88,鼓励,不计划
4779,女,32900,70,不鼓励,不计划
4781,男,44010,81,鼓励,不计划
4782,女,31800,90,不鼓励,不计划
4783,男,14700,81,不鼓励,不计划
4785,男,31400,126,不鼓励,不计划
4787,女,19900,131,不鼓励,不计划
4788,男,34700,127,不鼓励,不计划
4790,女,35860,74,鼓励,计划
4791,女,23300,91,不鼓励,不计划
4792,男,36270,60,鼓励,不计划
4794,男,45760,98,鼓励,计划
4796,女,23600,87,不鼓励,不计划
4797,女,52600,82,不鼓励,不计划
4799,男,21000,103,不鼓励,不计划
4801,男,43290,103,鼓励,不计划
4804,女,30300,95,不鼓励,不计划
4805,男,35100,91,不鼓励,不计划
4808,男,48800,110,不鼓励,不计划
4809,女,40500,94,不鼓励,不计划
4810,女,11300,76,不鼓励,不计划
4812,男,40860,79,鼓励,不计划
4815,女,34700,115,不鼓励,计划
4818,女,21600,75,不鼓励,不计划
4820,女,36800,119,不鼓励,不计划
4821,男,39490,128,鼓励,计划
4822,女,31900,100,不鼓励,不计划
4825,女,33300,90,不鼓励,不计划
4826,男,38430,87,鼓励,不计划
4827,男,56430,132,鼓励,计划
4828,女,17100,87,不鼓励,不计划
4832,男,10200,88,不鼓励,不计划
4833,女,34700,135,不鼓励,不计划
4835,男,39000,109,不鼓励,不计划
4841,男,45900,72,鼓励,不计划
4846,女,37400,65,不鼓励,不计划
4848,女,14600,109,不鼓励,不计划
4853,女,40400,99,不鼓励,不计划
4854,女,22400,72,不鼓励,计划
4855,女,11000,86,不鼓励,不计划
4856,女,55440,104,鼓励,不计划
4857,男,27700,133,不鼓励,不计划
4861,男,34430,106,鼓励,计划
4862,女,13900,103,不鼓励,不计划
4863,女,38100,114,不鼓励,不计划
4864,女,28200,69,不鼓励,不计划
4866,男,55110,137,鼓励,计划
4868,男,60930,107,鼓励,不计划
4869,女,24800,102,不鼓励,不计划
4871,男,53790,73,鼓励,计划
4874,女,80300,129,鼓励,计划
4875,女,52140,138,鼓励,计划
4876,女,10200,104,不鼓励,不计划
4878,男,49390,130,鼓励,计划
4879,女,11700,93,不鼓励,不计划
4880,男,40300,90,不鼓励,不计划
4881,男,33770,110,鼓励,计划
4882,女,22400,79,不鼓励,不计划
4883,男,71390,101,鼓励,计划
4885,男,55000,134,鼓励,计划
4886,男,44370,91,鼓励,不计划
4890,女,65400,91,不鼓励,不计划
4892,女,5200,106,不鼓励,不计划
4894,女,37710,99,鼓励,不计划
4895,男,77660,109,鼓励,计划
4898,女,32100,75,不鼓励,不计划
4899,男,32000,94,不鼓励,不计划
4903,女,11220,122,鼓励,计划
4907,男,24090,96,鼓励,计划
4910,男,54670,80,鼓励,计划
4911,男,19440,107,鼓励,不计划
4912,男,6660,98,鼓励,不计划
4913,男,40680,90,鼓励,不计划
4914,女,39060,104,鼓励,不计划
4916,女,18800,94,不鼓励,不计划
4921,男,33700,94,不鼓励,不计划
4923,女,45200,107,不鼓励,不计划
4924,男,37400,69,不鼓励,不计划
4925,女,30500,95,不鼓励,不计划
4927,男,33400,65,不鼓励,不计划
4929,男,11800,111,不鼓励,不计划
4930,男,38610,135,鼓励,计划
4931,男,45450,106,鼓励,不计划
4933,男,31500,107,不鼓励,不计划
4935,男,69850,105,鼓励,计划
4937,女,57600,118,鼓励,不计划
4940,男,46640,91,鼓励,计划
4941,女,18450,115,鼓励,不计划
4942,女,27000,116,鼓励,不计划
4944,女,64710,73,鼓励,不计划
4949,男,49200,104,不鼓励,不计划
4950,男,15120,99,鼓励,不计划
4955,女,18300,106,不鼓励,不计划
4956,男,5400,70,不鼓励,不计划
4957,女,79860,102,鼓励,计划
4958,女,69630,117,鼓励,计划
4959,男,10500,74,不鼓励,不计划
4962,女,12800,76,不鼓励,不计划
4965,女,40500,96,不鼓励,不计划
4966,男,5800,110,不鼓励,不计划
4967,女,29800,96,不鼓励,不计划
4968,女,41500,106,不鼓励,不计划
4973,女,45000,93,不鼓励,不计划
4974,男,28080,85,鼓励,不计划
4975,男,31950,131,鼓励,不计划
4976,女,80410,96,鼓励,计划
4980,男,21000,79,不鼓励,不计划
4981,女,55800,138,鼓励,不计划
4982,女,7500,83,不鼓励,不计划
4983,女,29520,91,鼓励,不计划
4984,女,40140,92,鼓励,不计划
4986,男,7370,98,鼓励,计划
4987,女,73810,132,鼓励,计划
4989,女,7200,93,不鼓励,不计划
4990,男,56540,110,鼓励,计划
4991,男,32580,109,鼓励,不计划
4992,女,62600,92,不鼓励,不计划
4993,男,77660,95,鼓励,计划
4995,男,72160,132,鼓励,计划
4996,男,63690,113,鼓励,计划
4997,女,23000,83,不鼓励,不计划
4999,女,53820,121,鼓励,不计划
5000,女,16000,126,不鼓励,不计划
5006,男,64570,98,鼓励,计划
5007,女,55550,139,鼓励,计划
5008,男,46420,126,鼓励,计划
5011,女,20600,66,不鼓励,不计划
5012,女,31400,97,不鼓励,不计划
5016,男,18600,93,不鼓励,不计划
5021,女,40320,133,鼓励,不计划
5024,男,73150,120,鼓励,计划
5025,女,52800,65,鼓励,计划
5026,男,34760,117,鼓励,计划
5027,男,39200,86,不鼓励,不计划
5028,男,46750,112,鼓励,计划
5032,男,33840,86,鼓励,不计划
5034,男,66440,122,鼓励,计划
5035,女,30800,89,不鼓励,不计划
5037,女,46000,96,不鼓励,不计划
5039,男,9900,93,鼓励,计划
5041,女,38340,96,鼓励,不计划
5043,男,33110,124,鼓励,计划
5045,男,65790,105,鼓励,不计划
5048,男,40860,108,鼓励,不计划
5051,男,34210,136,鼓励,计划
5052,男,43290,79,鼓励,不计划
5053,女,80410,136,鼓励,计划
5054,男,30200,95,不鼓励,不计划
5055,女,47400,91,不鼓励,不计划
5056,男,20700,64,不鼓励,不计划
5058,女,68310,108,鼓励,计划
5059,女,48900,94,不鼓励,不计划
5062,男,46750,104,鼓励,计划
5064,女,19100,90,不鼓励,不计划
5067,女,51920,61,鼓励,计划
5068,女,39330,92,鼓励,不计划
5069,女,12500,100,不鼓励,不计划
5071,女,39780,106,鼓励,不计划
5075,男,38070,94,鼓励,不计划
5080,男,47190,96,鼓励,计划
5081,女,35200,110,不鼓励,计划
5083,女,9900,101,不鼓励,不计划
5084,女,46700,92,不鼓励,不计划
5085,男,56430,118,鼓励,计划
5088,女,61470,93,鼓励,不计划
5089,男,7900,86,不鼓励,不计划
5091,男,31680,112,鼓励,不计划
5094,男,36270,105,鼓励,不计划
5095,女,32400,79,不鼓励,不计划
5096,女,69400,84,不鼓励,不计划
5100,女,18700,77,不鼓励,不计划
5102,女,38970,100,鼓励,不计划
5103,男,21960,139,鼓励,不计划
5105,男,45700,138,不鼓励,不计划
5107,女,25700,61,不鼓励,不计划
5109,女,33200,76,不鼓励,不计划
5110,女,50940,106,鼓励,不计划
5113,男,43110,139,鼓励,不计划
5114,男,20600,86,不鼓励,不计划
5116,男,14490,64,鼓励,不计划
5119,男,40300,91,不鼓励,计划
